Link Text,URL
Faculty Handbook,https://pec.ac.in/sites/default/files/uploads/facultyhandbook_0.pdf
Security Policy,http://pec.ac.in/sites/default/files/uploads/security_policy_draft_updated_0.pdf
Click here for List,https://pec.ac.in/sites/default/files/uploads/seniority_list_HAS_faculty_27-11-15.pdf
Computer & peripherals requisition Form,http://pec.ac.in/sites/default/files/uploads/proforma_computer_peripherals_updated_0.pdf
Proforma for Identity-cum Dependent Card,https://pec.ac.in/sites/default/files/uploads/proforma_icard_pec.pdf
Proforma for L.T.C,https://pec.ac.in/sites/default/files/uploads/proforma_ltc_pec.pdf
Application form for Special Casual Leave/ Project Leave,https://pec.ac.in/sites/default/files/uploads/Proforma-SCL-PL.pdf
Vacation Leave – Faculty,http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_faculty_updated.pdf
Electrical Engineering,http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19-revised.pdf
Electronics and Communication Engineering,http://pec.ac.in/sites/default/files/uploads/faculty_ee_18-19.pdf
Production and Industrial Engineering,http://pec.ac.in/sites/default/files/uploads/faculty_pie_18-19.pdf
Guidelines for Engaging Faculty in PEC,http://pec.ac.in/sites/default/files/uploads/guidelines_for_engaging_faculty_in_pec_updated.pdf
Qualifications for Humanities and Management & TQM,http://pec.ac.in/sites/default/files/uploads/qualifications_for_humanities_and_management_updated.pdf
Provision of Emeritus/Visiting/Chair Professor,http://pec.ac.in/sites/default/files/uploads/provision_of_emeritus_visiting_chair_professor_updated.pdf
Engagement of Adjunct Faculty at PEC,http://pec.ac.in/sites/default/files/uploads/engagement_of_adjunct_faculty_at_pec_updated.pdf
Special Casual Leave,http://pec.ac.in/sites/default/files/uploads/Proforma-SCL-PL.pdf
Faculty/Alumni/Staff Awards,http://pec.ac.in/sites/default/files/uploads/faculty_alumni_staff_awards_updated.pdf
Norms for incentives for faculty undertaking Sponsored Research applicable till 30-09-2016,http://pec.ac.in/sites/default/files/uploads/norms_for_incentives_for_faculty_undertaking_sponsored_research_applicable_till_30-09-2016_dsric_updated.pdf
Advance Form for Consultancy and Testing Projects,http://pec.ac.in/sites/default/files/uploads/advance_form_for_consultancy_and_testing_projects_dsric_updated.pdf
Advance Form for Sponsored Research Projects,http://pec.ac.in/sites/default/files/uploads/advance_form_for_sponsored_research_projects_dsric_updated.pdf
Incentive Form to Faculty for Undertaking Sponsored Research as per Old Norms,http://pec.ac.in/sites/default/files/uploads/incentive_form_to_faculty_as_old_norms%20_dsric_updated.pdf
English Version,https://pec.ac.in/sites/default/files/uploads/updatedraggingnotification.pdf
Application form for Career Progression Scheme (CPS) for Computer Professional,https://pec.ac.in/sites/default/files/uploads/Performa-for-Computer-Professionals_CAS.doc
Application form for promotion under the CAS (Eligibility -Between 01.10.2009 to 07.10.2009),https://pec.ac.in/sites/default/files/uploads/Proforma-for-CAS-Old.doc
Application For Finalization Of Supervisor(S),http://pec.ac.in/sites/default/files/uploads/Proforma-I-20-7-17.pdf
Student Research Committee/Revised Student Research Committee,http://pec.ac.in/sites/default/files/uploads/Proforma-II-20-7-17.pdf
Application For Courses To Be Completed,http://pec.ac.in/sites/default/files/uploads/Proforma-III-20-07-2017.pdf
Progress Report Of Ph.D. Scholar For Autumn/Spring Semester Of The Session,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-IV-18-07-2016.pdf
Turnitin Report Submission form,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-V-18-07-2016.pdf
Request By Student For State Of Art Seminar Examination,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-VI-18-07-2016_2.pdf
Report on State of Art examination and Candidacy for Ph.D. Degree,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-VII-18-07-2016.pdf
Performa for approval of Co-Supervisor from outside institution for Ph.D. Candidate at PEC,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-VIII-18-07-2016_2.pdf
Final Report Of The Student Research Committee On Pre-Thesis Seminar,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-IX-18-07-2016.pdf
Candidate’s Declaration,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-X-18-07-2016.pdf
Submission Of Thesis For Doctor Of Philosphy,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-XI-18-07-2016.pdf
Performa for approval to be Co-Supervisor from PEC for Ph.D. candidate in outside institution,http://www.pec.ac.in/sites/default/files/uploads/notices/Proforma-XII-18-07-2016.pdf
Sponsored R & D Projects,https://pec.ac.in/sites/default/files/uploads/sponsored_projects_metta_20.pdf
Consultancy projects for the year 2015-16,https://pec.ac.in/sites/default/files/attachments/consultancy_projects_10-11-16.pdf
Consultancy projects for the year 2016-17,https://pec.ac.in/sites/default/files/attachments/consultancy_projects_2016-17.pdf
Consultancy projects for the year 2017-18,https://pec.ac.in/sites/default/files/attachments/consultancy_projects_list_2017-2018_dsric_updated.pdf
TA/DA form for Faculty/Expert/Staff,http://pec.ac.in/sites/default/files/uploads/tada_form_for_faculty_staff_expert.pdf
Activity Report Performa (Organized),http://pec.ac.in/sites/default/files/uploads/activity_report_proforma_organized.pdf
Download Tender,https://pec.ac.in/sites/default/files/uploads/tenders/MikeHydroRiver.pdf
Internship Projects done by the students,https://pec.ac.in/sites/default/files/attachments/internshi_projects_2015.pdf
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sanjay_batish.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sushil.jpg
Associate Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/assoc_prof_pie_9-6-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/assoc_prof_pie_5_9-6-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/03/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_prof_3_11-6-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/prof_pie_9-6-18.pdf
Assistant Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/assistant_professor_civil_1-6-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_civil_1-6-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_ee_5_30-5-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_ee_4_30-5-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_5_30-5-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_4_30-5-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_ece_17-5-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_ece_5_17-5-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_ece_17-5-18.pdf
Assistant Professor (Advt. No. PEC/Recruitment/Faculty/04 & 05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/assistant_professor_cmh_17-5-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/04 & 05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_cmh_17-5-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/04 & 05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_cmh_17-5-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_aero_30-4-18.pdf.pdf
Assistant Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/assistant_professor_cse_27-4-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_cse_27-4-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_cse_1_27-4-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/03/2017),https://pec.ac.in/sites/default/files/uploads/jobs/asociate_professor_cse_2_27-4-18.pdf
