Tag ,Text
<p>,"Sponsored projects, In-house projects, consultancy and collaborations with industry and academia are important modes through which our faculty and students contribute towards knowledge and technology. Our institute provides financial assistance to its faculty and students to present the outcome of their research projects in national and international conferences in India and abroad. Our faculty engaged in helping society offers short term courses as well training programs for industry, institutes and organizations. Office of Dean Sponsored Research & Industrial Consultancy provides administrative and managerial support for the operation of Sponsored research, In-house Projects, Consultancy and other activities of the institute. It promotes and manages Institute-Industry interaction and provides helping hand in establishing collaborative programmes of interest to Institute and Industry. Faculty and students are encouraged to take up hands on industrial problems as consultancy projects to enrich their problem solving skills."
<p>,"As every auspicious ceremony should begin, this event began with the lighting of the lamp. Following this, Dean Alumni, Corporate and International Relations, Dr. Divya Bansal in her address informed how within five weeks the event was pulled off and total registrations with families had exceeded 1000. She also shed some light on how the engagement with the alumni had tremendously improved in the last three months with all possible communication media used to reach the alumni world over including Facebook, linked in, emails, phones calls, WhatsApp. As a result alumni from all over the world including Malaysia, Australia, US, Nepal, Canada, London attended the event. The Director of the institute, Dr. Dheeraj Sanghi, who had joined the college last year and has made immense improvements within the span of a year, also addressed the crowd. PEC celebrated and cherished 4 of its distinguished alumni by presenting them with an award. Amongst them were Mr.Sandeep Bakhshi (Director and CEO of ICICI Bank for the past 32 years, who has handled various assignments across the group in ICICI Limited, ICICI Lombard General Insurance, ICICI Bank and ICICI Prudential Life Insurance and graduated PEC in 1982) whose presence we missed, Mr. Sanjeev Aggarwal (Founder and CEO of Daksh, rated as the World's Best Managed BPO Company (Black Book of Outsourcing) and was ranked as the #1 employer in Indian BPO market by IDC. He was chosen "Ernst & Young Entrepreneur of the year" in 2002), Mr. Sanjay Bhatia (Chairman, Mumbai Port Trust. Before that he was working as Vice Chairman and Managing Director of City & Industrial Development Corporation of Maharashtra Ltd (CIDCO). He graduated PEC in 1982), Mr. Yogesh Lohiya (He is a 1973 graduate in Production Engineering. He was Chairman cum Managing Director of General Insurance Corporation (GIC) of India from 2007 to 2011. He was also MD and CEO of Iffco Tokio General Insurance Ltd from 2013 to 2017)."
<p>,"Punjab Engineering College (Deemed to be University) has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college, which started with a lamp lightning ceremony. Chief guest Director, PEC, Dr. Dheeraj Sanghi, ex-Directors Vijay Gupta and Manoj Datta shared the podium with Dr. Divya Bansal. The Chief Guests also included Dr. Siby John (Deputy Director) and Dr. Sushant Samir (Registrar)."
<p>,"The event started with the welcome address by Prof. Dheeraj Sanghi (Director, PEC) in presence of Prof. Harminder Kaur (Head, Applied Science Dept. and convener of this STC) and Prof. Arun K. Grover (Emeritus Professor, Applied Science Dept. and Former Vice-Chancellor, Panjab University). Prof. Sanghi appreciated the efforts of course coordinators and the organizing committee for creating such platform comprised of eminent speakers and broad audience from reputed institutes/universities."
<p>,"Prof. Sabu Thomas (Vice-Chancellor, Mahatma Gandhi University, Kottayam) delivered the first session lecture of day 2 and shared his research works with the participants on interfacial modification in nanocomposites to tailor functionalities. He elaborated on hybrid polymer nanocomposites, thin films and fiber materials derived from natural resources. Then, Dr. Uttam Manna (Associate Professor, IIT Guwahati) delivered his talk on design of durable bio-inspired wettability in particular superhydrophobic materials for prospective outdoor applications. Dr. Narinder Singh (Associate Professor, IIT Ropar) discussed on his lecture over the design and synthesis of nanomaterials for sensor development. In the closing lecture, Dr. Pradip Paik (Associate Professor, IIT BHU) delivered his talk on design and engineering of polymeric nanocapsules and discussed for their stimuli-responsive systems for drug delivery application."
<p>,"Prof. S. Anantha Ramakrishna (Director, CSIR-CSIO, Chandigarh) started the 3rd day of the event by delivering his talk on active switchable metamaterials and discussed about their microwave and infra-red applications in the defence sector. Then, Prof. Prakash Wadgaonkar (Emeritus Scientist, CSIR-NCL, Pune) introduced to the participants about the synthesis of functional polymers and their complex architectured materials. Subsequently, Dr. Ashish Pal (Associate Professor, INST Mohali) delivered his lecture on biomimetic functional supramolecular materials and elaborated their structural precision to diverse applications. The last lecture on the closing day of the STC was delivered by Prof. Amitava Das (Professor, IISER Kolkata and Former Director, CSIR-CSMCRI, Bhavnagar) on the topic of stimuli-responsive assemblies for predictive responses. He further explained about the polymeric capsule based systems to meet their biomedicinal applications. The feedback from all the participants regarding the content and quality of the sessions were impressive and satisfactory. The organizing committee based on the feedback received from participants firmly believes that the audience has gained and enriched their knowledge in the field of functional materials and potential applications."
<p>,"On day 2, Dr. Praveen, ARDE Pune, deliver his lecture on energy storage and defence applications of piezoelectric materials and the challenges while fabricating these devices for space and military applications. Dr. Prateek ,IIT Kanpur, delivered his lecture on nanostructured composites of ferroelectric and polymer phases for high energy storage applications. Dr. O.P. Thakur, SSPL New Delhi, delivered his talk on ferroelectric ceramics processing and optimization with details on processing techniques and device applications of these materials in military applications. Dr. Gyaneshwar Sharma, TD College, Jaunpur delivered his talk on ferroelectric applications in green cooling and ambient energy renewal. He concluded his talk with emphasis on utilization of these materials for refrigeration processes."
<p>,"The event was kicked off by Prof. Dheeraj Sanghi, Director, PEC in the presence of Prof. Neelu Jain, Head, Dept. of Electronics and Communication Engineering, Prof. Neena Gupta, Chairperson, IEEE Chandigarh Subsection, Dr. Manish Hooda, Scientist SCL Mohali and Secretary, ISSE Chandigarh Chapter and Dr. Sanjay Batish, Coordinator, TEQIP-III. Prof. Sanghi appreciated the efforts of Course coordinator to rope-in eminent speakers from leading research universities, defense and space laboratories and industries to deliver talks on different nano-electronic and photonic technologies. He further encouraged the participants for responsible development of products based upon such technologies to meet out the most pressing human and societal needs."
<p>,"In the inaugural talk on day 1, Dr. H.S. Jatana, Sr. Scientist, of Semiconductor laboratory (SCL) Mohali emphasised the necessity to work in area of Nanotechnology particularly for the development of photodetectors to meet out the energy requirements discussing about the advantages and challenges of infrared (IR) photodetectors. Prof. Yogesh Chauhan, Indian Institute of Technology (IIT) Kanpur introduced the compact modelling techniques to predict the electrical (DC and AC), and noise characteristics of semiconductor devices such as MOSFETs, FINFETs and nanotransistors. He also elaborated about his recently developed ASM GaN HEMT model which has been widely adapted by the Industries. Dr. D. S. Rawal, Scientist, Solid State Physics Laboratory (SSPL), DRDO introduced the participants various fabrication technologies available for the nanoelectronic and photonic devices. He also discussed about III-V materials their properties and applications. In the closing lecture of day 1, Dr. Amit Singh, Scientist, SCL Mohali discussed about the characteristics of high voltage silicon devices, and their challenges elaborating RESURF/LDMOS architectures, self-heating and kink effects."
<p>,"Someone has rightly stated that learning should never stop even at the time of crisis. ICT, which a great enabler and facilitator of online learning, has kept the learning process intact. Amidst lockdown, the Department of Computer Science and Engineering, Punjab Engineering College, Sector-12, Chandigarh has commenced 04 different Faculty Development Programs (FDPs) of one week each under AICTE-Training and Learning (ATAL) scheme w.e.f. 4th May to 29th May, 2020. ATAL Programme is an initiative by AICTE which aims at empowering faculty to achieve goals of Higher Education such as access, equity and quality. These programs have been designed to fulfill the need to train the young generation in skill sector and having faculty & technicians to be trained in their respective disciplines. This is an initiative of MHRD based on the inputs of expert group of NASSCOM identifying nine thrust areas for the skill upgradation of faculty members which in turn will empower the students to make them future industry ready professionals. The thrust areas are: Artificial Intelligence, Internet of Things, Block Chain, Robotics, Quantum Computing, Data Sciences, Cyber Security, 3D Printing and Design, Augmented and Virtual Reality."
<p>,"The Department of Applied Sciences, Punjab Engineering College (Deemed to be University), Chandigarh organized a National Seminar on Recent Advances in Mathematical Modeling and their Applications in Engineering and Sciences on March 09, 2020. The event involved four expert talks by faculties from various reputed institutions. The first talk on “Continuum Approach to Traffic Flow” was delivered by Dr. Arvind Kumar Gupta (IIT Ropar), followed by a talk on “Mathematical Modelling on Wave Structure Interaction and its Applications in Engineering” by Dr. S. C. Martha (IIT Ropar). The third talk was on “Optimization Problems and Applications” delivered by Dr. Vanita Verma (Panjab University) and the last talk was interacted by Dr. Syed Abbas (IIT Mandi) on “Stability Theory of Differential Equations”. The event was convened and Coordinated by Prof. Harminder Kaur, Prof. R.K. Sehmi, Prof. Sucheta Dutt and Dr. Swati Tyagi. There were 40 participants from various locations such as Punjab Ambala, Fazilka, Jalalabad etc. The seminar was winded up by a vote of thanks by Dr. Swati Tyagi."
<p>,"Applications are invited from Indian national candidates possessing the below mentioned qualifications and experience. Candidates should bring along with them application with completed bio-data as per the giving full details of educational qualifications and experience with attested copies of mark sheets / certificates and experience certificates of the candidate addressed to the director, Punjab Engineering College with recent passport size photographs. Following positions are available for a period of Three Years to work in a Defence Research & Development Organisation (DRDO), terminal Ballistics research laboratory (TBRL), sponsored project “Study of Energetic Ionic Liquids as New Explosive Materials’’ with Dr. Vasundhara Singh, Professor, Department of Applied Sciences, Punjab Engineering College (Deemed to be University), Chandigarh and Dr. Satwant Kaur Shahi, Associate Professor, Department of Chemistry. ASBASJSM College Bela (Ropar)."
